plasmid_0;83_4+,112_2+,70_3+,12_1-,70_3+
# 83_4	1.0	1	390
# 112_2	0.948051948051948	1	77
# 70_3	0.9155794320798158	1	1303
# 12_1	0.0	1	165240
# 70_3	0.9155794320798158	1	1303

plasmid_1;77_1+,86_0-,100_0-,70_0-,12_0+,70_0-
# 77_1	1.0	1	818
# 86_0	0.0	1	382
# 100_0	0.515625	1	128
# 70_0	0.9155794320798158	1	1303
# 12_0	0.0	1	165240
# 70_0	0.9155794320798158	1	1303

plasmid_2;71_1+
# 71_1	0.9669230769230769	1	1300

plasmid_3;113_3+
# 113_3	0.96	1	75

plasmid_4;113_2+
# 113_2	0.96	1	75

plasmid_5;112_1+
# 112_1	0.948051948051948	1	77

plasmid_6;70_5+
# 70_5	0.9155794320798158	1	1303

plasmid_7;70_6+
# 70_6	0.9155794320798158	1	1303

plasmid_8;70_4+
# 70_4	0.9155794320798158	1	1303

plasmid_9;74_0+
# 74_0	0.9122807017543859	1	1026

plasmid_10;101_1+
# 101_1	0.8650793650793651	1	126

plasmid_11;101_6+
# 101_6	0.8650793650793651	0.9999931657906805	126

plasmid_12;69_0+
# 69_0	0.7461818181818182	1	1375

plasmid_13;100_1+
# 100_1	0.515625	1	128

plasmid_14;95_1+
# 95_1	0.33986928104575165	1	153

plasmid_15;37_1+
# 37_1	0.09789779440724694	1	40624

plasmid_16;37_0+
# 37_0	0.09789779440724694	1	40624

plasmid_17;11_0+
# 11_0	0.012137414145995071	1	167581

plasmid_18;11_1+
# 11_1	0.012137414145995071	1	167581

plasmid_19;14_0+
# 14_0	0.005001123105585138	1	151366

