CP012928.1;13-,36-,26-,46+,27+,36-,23-,52-,30-,48-
CP012925.1;28-
CP012927.1;22-
CP012929.1;14-,49+,15-,31+,15-,27-,46-,24+,49+,15-,39+,73-,37+
CP012926.1;16-
