plasmid_0;30+,52+,23+,36+,13+,48+,31+,52+,25+,46-,24+,49+,15-,39+,73-,37-,14-
# 30	0.831628638867	6.03953938017	1271
# 52	0.0	3.4824787121	137
# 23	0.793968253968	4.86453416434	3150
# 36	0.993299832496	5.97893409871	597
# 13	0.905523590334	5.94242771007	52140
# 48	1.0	9.91970996494	202
# 31	0.861538461538	2.69141341173	1235
# 52	0.0	3.4824787121	137
# 25	0.866458414682	2.18556875068	2561
# 46	1.0	9.41900219557	246
# 24	0.922377395258	2.55198434495	3079
# 49	1.0	3.55306707779	175
# 15	0.910515600587	2.92070814153	42242
# 39	0.919587628866	3.62121029795	485
# 73	0.0	1.09605825872	47
# 37	1.0	3.91671168132	536
# 14	0.859633497361	2.81786712364	44911

plasmid_1;30+,52+,23+,36+,13+,48+,31+,52+,25+,46-,24+,49+,15-,39+,74+,37+,14-
# 30	0.831628638867	5.03953938017	1271
# 52	0.0	1.4824787121	137
# 23	0.793968253968	3.86453416434	3150
# 36	0.993299832496	4.97893409871	597
# 13	0.905523590334	4.94242771007	52140
# 48	1.0	8.91970996494	202
# 31	0.861538461538	1.69141341173	1235
# 52	0.0	1.4824787121	137
# 25	0.866458414682	1.18556875068	2561
# 46	1.0	8.41900219557	246
# 24	0.922377395258	1.55198434495	3079
# 49	1.0	2.55306707779	175
# 15	0.910515600587	1.92070814153	42242
# 39	0.919587628866	2.62121029795	485
# 74	0.0	2.13792128846	47
# 37	1.0	2.91671168132	536
# 14	0.859633497361	1.81786712364	44911

plasmid_2;26+,36+,27-,46-,24+,49+,15-,39-,74+,37+,14-
# 26	0.886533665835	5.88596228315	2406
# 36	0.993299832496	3.97893409871	597
# 27	0.960901563937	5.71002840098	2174
# 46	1.0	7.41900219557	246
# 24	0.922377395258	0.551984344949	3079
# 49	1.0	1.55306707779	175
# 15	0.910515600587	0.920708141531	42242
# 39	0.919587628866	1.62121029795	485
# 74	0.0	1.13792128846	47
# 37	1.0	1.91671168132	536
# 14	0.859633497361	0.817867123639	44911

plasmid_3;27-,46-,26+,36+,13+,48+,30+
# 27	0.960901563937	4.71002840098	2174
# 46	1.0	6.41900219557	246
# 26	0.886533665835	4.88596228315	2406
# 36	0.993299832496	2.97893409871	597
# 13	0.905523590334	3.94242771007	52140
# 48	1.0	7.91970996494	202
# 30	0.831628638867	4.03953938017	1271

