file_id	cluster_id	contig_id	contig_length	circularity_status	rep_type	rep_type_accession	relaxase_type	relaxase_type_accession	mash_nearest_neighbor	 mash_neighbor_distance	repetitive_dna_id	match_type	score	contig_match_start	contig_match_end
assembly.fasta	539	assembly.fasta|68_length=8031_depth=6.64x	8031	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|66_length=8440_depth=4.52x	8440	Incomplete	IncFII,IncFIIA	000136__AP014877_00014,000121__CP024805			CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|91_length=2044_depth=6.27x	2044	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|58_length=12788_depth=6.09x	12788	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|85_length=2734_depth=4.48x	2734	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|46_length=19945_depth=3.08x	19945	Incomplete	IncFIB	000095__NZ_CP014273_00094			CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|53_length=16356_depth=3.92x	16356	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|114_length=1006_depth=5.99x	1006	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|80_length=3795_depth=6.74x	3795	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|51_length=17903_depth=4.72x	17903	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|84_length=2875_depth=1.38x	2875	Incomplete					CP000971	0.0150285					
assembly.fasta	539	assembly.fasta|93_length=1926_depth=0.81x	1926	Incomplete					CP000971	0.0150285					
assembly.fasta	461	assembly.fasta|87_length=2600_depth=7.76x	2600	Incomplete					KX434885	0.0388388					
assembly.fasta	357	assembly.fasta|101_length=1426_depth=3.37x	1426	Incomplete					CP012198	0.0284057					
assembly.fasta	357	assembly.fasta|65_length=9556_depth=0.91x	9556	Incomplete					CP012198	0.0284057					
assembly.fasta	405	assembly.fasta|75_length=5236_depth=4.64x	5236	Incomplete					AY033516	0.0263945					
assembly.fasta	644	assembly.fasta|109_length=1258_depth=5.09x	1258	Incomplete					KY471144	0.00216198					
assembly.fasta	644	assembly.fasta|59_length=12235_depth=4.24x	12235	Incomplete			MOBP	NC_022520_00030	KY471144	0.00216198					
assembly.fasta	644	assembly.fasta|64_length=10771_depth=5.12x	10771	Incomplete					KY471144	0.00216198					
assembly.fasta	644	assembly.fasta|103_length=1304_depth=1.26x	1304	Incomplete					KY471144	0.00216198					
assembly.fasta	644	assembly.fasta|100_length=1443_depth=7.94x	1443	Incomplete					KY471144	0.00216198					
assembly.fasta	644	assembly.fasta|36_length=35098_depth=5.62x	35098	Incomplete	IncI2	000147__CP006264_00003			KY471144	0.00216198					
assembly.fasta	644	assembly.fasta|112_length=1074_depth=5.12x	1074	Incomplete					KY471144	0.00216198					
assembly.fasta	chromosome	assembly.fasta|216_length=15_depth=2.48x	15	Incomplete											
assembly.fasta	chromosome	assembly.fasta|23_length=66305_depth=1.09x	66305	Incomplete											
assembly.fasta	chromosome	assembly.fasta|215_length=18_depth=5.20x	18	Incomplete											
assembly.fasta	chromosome	assembly.fasta|105_length=1295_depth=1.36x	1295	Incomplete											
assembly.fasta	chromosome	assembly.fasta|60_length=12109_depth=1.06x	12109	Incomplete											
assembly.fasta	chromosome	assembly.fasta|219_length=6_depth=2.05x	6	Incomplete											
assembly.fasta	chromosome	assembly.fasta|25_length=61933_depth=0.83x	61933	Incomplete											
assembly.fasta	chromosome	assembly.fasta|204_length=54_depth=3.24x	54	Incomplete											
assembly.fasta	chromosome	assembly.fasta|70_length=6801_depth=0.84x	6801	Incomplete											
assembly.fasta	chromosome	assembly.fasta|160_length=240_depth=1.53x	240	Incomplete											
assembly.fasta	chromosome	assembly.fasta|15_length=99656_depth=0.91x	99656	Incomplete											
assembly.fasta	chromosome	assembly.fasta|139_length=478_depth=1.30x	478	Incomplete											
assembly.fasta	chromosome	assembly.fasta|5_length=273386_depth=1.07x	273386	Incomplete											
assembly.fasta	chromosome	assembly.fasta|184_length=118_depth=1.53x	118	Incomplete											
assembly.fasta	chromosome	assembly.fasta|157_length=276_depth=8.94x	276	Incomplete											
assembly.fasta	chromosome	assembly.fasta|97_length=1772_depth=2.28x	1772	Incomplete											
assembly.fasta	chromosome	assembly.fasta|61_length=11900_depth=1.07x	11900	Incomplete											
assembly.fasta	chromosome	assembly.fasta|131_length=679_depth=10.02x	679	Incomplete											
assembly.fasta	chromosome	assembly.fasta|29_length=55621_depth=1.04x	55621	Incomplete											
assembly.fasta	chromosome	assembly.fasta|197_length=64_depth=9.69x	64	Incomplete											
assembly.fasta	chromosome	assembly.fasta|39_length=26646_depth=0.90x	26646	Incomplete											
assembly.fasta	chromosome	assembly.fasta|31_length=44226_depth=1.08x	44226	Incomplete											
