number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
28 S28_LN:i:18744_dp:f:1.8507229522193482 0.2 0.8 Plasmid 18744 1.85 1
29 S29_LN:i:16620_dp:f:1.9616668874638905 0.31 0.69 Plasmid 16620 1.96 2
35 S35_LN:i:11201_dp:f:1.5495953858768372 0.45 0.55 Plasmid 11201 1.55 1
37 S37_LN:i:10417_dp:f:1.730987701199134 0.19 0.81 Plasmid 10417 1.73 2
38 S38_LN:i:9966_dp:f:1.4605915203967752 0.06 0.94 Plasmid 9966 1.46 1
42 S42_LN:i:6282_dp:f:1.8095745754317005 0.05 0.95 Plasmid 6282 1.81 2
43 S43_LN:i:6255_dp:f:1.6108020395658795 0.04 0.96 Plasmid 6255 1.61 2
45 S45_LN:i:5783_dp:f:1.5864275443569733 0.45 0.55 Plasmid 5783 1.59 1
46 S46_LN:i:4752_dp:f:1.7719883212190681 0.16 0.84 Plasmid 4752 1.77 1
50 S50_LN:i:3937_dp:f:1.5211006819977488 0.31 0.69 Plasmid 3937 1.52 1
76 S76_LN:i:1294_dp:f:1.7596173432963043 0 1 Plasmid 1294 1.76 1
78 S78_LN:i:1230_dp:f:1.6221631009874675 0.05 0.95 Plasmid 1230 1.62 2
80 S80_LN:i:1176_dp:f:1.573960141235306 0.36 0.64 Plasmid 1176 1.57 2
